1,Angella Hamid,2,6,0,18711
2,Nu Claude,18,3,0,61279
3,Tabatha Rueda,14,2,1,88790
4,Nubia Dildine,4,11,0,7619
5,Elsy Galloway,6,11,0,37554
6,Nolan Mcgarr,2,1,0,9930
7,Nicolle Stayer,5,7,1,54645
8,Golda Lorenz,4,8,1,57682
9,Gussie Newbury,10,9,0,30883
10,Golda Lorenz,13,10,0,11376
11,Doyle Adolphson,14,10,0,70810
12,Heath Slocum,2,11,1,89221
13,Heath Slocum,16,6,0,29872
14,Pat Vierling,6,5,0,11980
15,Arlene Tarango,5,11,1,39686
16,Hosea Cecil,9,7,0,9239
17,Akilah Grote,6,5,0,41955
18,Voncile Deangelo,9,8,0,50750
19,Tereasa Abril,15,4,0,21307
20,Rosemarie Ganley,10,7,1,34407
21,Rosemarie Ganley,12,10,0,75235
22,Heath Slocum,4,6,0,15247
23,Ta Sprvill,7,4,0,73306
24,Shakia Rowlett,18,9,0,14245
25,Jess Maharaj,9,4,0,70099
26,Marcelina Romney,11,6,0,14332
27,Milford Buckler,1,10,0,577
28,Nu Claude,14,3,0,74163
29,Roma Stanford,18,7,1,61754
30,Andree Melgarejo,17,8,1,88419
31,Melia Archambeault,3,3,0,13467
32,Vashti Himes,13,8,0,7966
33,Vashti Himes,13,6,0,20253
34,Julius Kitchin,3,4,0,14196
35,Reiko Converse,9,6,0,35558
36,Vashti Himes,18,3,0,16328
37,Luvenia Byard,15,4,1,40361
38,Shanon Erler,18,11,0,87007
39,Luanne Jerez,9,6,0,40128
40,Gilda Pestana,8,3,0,43637
41,Heath Slocum,6,5,0,28477
42,Lakisha Perkin,9,4,0,68395
43,Cindy Rainer,15,7,0,38333
44,Rosemarie Ganley,18,6,1,95813
45,Rossie Justiniano,15,10,0,41928
46,Brandie Stanfill,16,2,0,72758
47,Delcie Hardnett,4,10,0,69764
48,Magda Victory,14,4,0,20751
49,Wilber Conry,1,3,0,57706
50,Columbus Blazer,17,2,0,44899
51,Masako Caldera,13,1,0,37836
52,Mozelle Walt,16,10,1,3331
53,Jarvis Nowland,10,7,0,59393
54,Columbus Blazer,17,1,0,19195
55,Francina Heisey,5,7,0,68914
56,Nannette Dimery,12,10,1,46094
57,Andree Melgarejo,17,11,0,74308
58,Melia Archambeault,8,4,0,70514
59,Julianna Landen,4,10,0,81088
60,Fidelia Klimek,10,8,1,42911
61,Trudie Borgen,17,8,0,20582
62,Daniele Porter,14,1,0,7012
63,Andree Melgarejo,12,10,0,39136
64,Lucas Rufus,1,11,1,85342
65,Giovanna Ripple,3,2,0,92397
66,Agustin Routh,10,2,0,24579
67,Nolan Mcgarr,10,10,0,4899
68,Elizabet Poling,6,9,0,59485
69,Dana Villescas,12,7,1,2073
70,Ashton Underwood,14,8,0,85363
71,Jolie Isham,12,3,0,65035
72,Delcie Hardnett,1,7,0,27465
73,Nolan Mcgarr,2,10,0,41367
74,Mandie Purdie,5,11,1,78258
75,Corene Latshaw,1,10,0,86447
76,Krystina Lapp,13,3,0,94469
77,Roma Stanford,3,8,0,48831
78,Will Moody,3,9,0,45078
79,Keri Ruffin,8,7,0,33009
80,Cherie Vides,1,11,0,92364
81,Kendrick Wannamaker,5,1,1,47543
82,Nicolle Stayer,1,3,0,73591
83,Michelina Kreitzer,13,11,1,86562
84,Daniele Porter,0,10,0,43651
85,Fidelia Klimek,8,2,0,38733
86,Jess Maharaj,17,2,0,34689
87,Tiffany Foutch,14,3,1,67955
88,Romelia Gash,12,7,0,17806
89,Yadira Farris,13,9,0,62639
90,Nickie Pritchett,5,3,1,95421
91,Yon Tourville,6,11,1,22880
92,Jared Lark,15,3,0,58367
93,Arden Quiros,8,10,1,97626
94,Barbera Sanders,8,9,0,12825
95,Annamaria Fanelli,0,7,0,88858
96,Dana Villescas,4,8,0,15839
97,Annis Acey,5,9,0,31660
98,Karyl Wierenga,4,6,0,20030
99,Ta Sprvill,4,6,0,94055
100,Golda Lorenz,6,10,0,49106
101,Collene Trojan,15,5,0,85576
102,Tamiko Tso,13,8,0,89430
103,Nu Claude,13,6,0,68462
104,Cyndy Barone,10,11,0,70313
105,Rossie Justiniano,17,7,1,7184
106,Andree Melgarejo,1,1,0,94198
107,Lillia Olmstead,12,8,0,92666
108,Princess Roof,14,1,1,17039
109,Jason Betterton,1,3,0,84017
110,Roseline Baham,7,3,0,56668
111,Tamiko Tso,0,4,0,77127
112,Chang Ko,17,6,0,29073
113,Estella Goodspeed,15,4,0,73860
114,Eulalia Mcanally,17,5,0,71735
115,Jolie Isham,1,4,0,3392
116,Krystina Lapp,18,9,0,65647
117,Pat Vierling,13,5,0,28492
118,Mozelle Walt,16,10,0,72274
119,Rosemarie Ganley,2,5,0,79224
120,Rosemarie Ganley,9,7,0,20029
121,Dana Villescas,18,5,0,42319
122,Daniele Porter,0,1,0,62706
123,Julius Kitchin,15,5,1,13425
124,Corrinne Stocking,0,5,0,20762
125,Danille Ferrara,2,11,0,46007
126,Erwin Vanhouten,16,5,0,93019
127,Nickie Pritchett,0,4,0,51655
128,Pat Vierling,7,7,0,49327
129,Jarvis Nowland,4,11,0,57041
130,Romelia Gash,13,8,0,67030
131,Erwin Vanhouten,3,11,0,50847
132,Miesha Bertin,1,2,0,72231
133,Tamiko Tso,15,10,0,55680
134,Pura Rising,9,7,0,60771
135,Corrinne Stocking,0,3,0,75120
136,Nolan Mcgarr,8,9,0,20139
137,Daniele Porter,2,4,1,2886
138,Danille Ferrara,7,11,0,43166
139,Yadira Farris,6,5,0,88033
140,Elizabet Poling,17,10,1,90135
141,Karma Endo,11,10,0,54814
142,Marlys Canale,18,8,1,66139
143,Hwa Hovey,12,5,0,49164
144,Rosemarie Ganley,6,10,0,41127
